%time,field0.role,field0.id,field0.dis,field0.fp_rssi,field0.rx_rssi
1702023193276285848,0,1,1.0219999551773071,-81.0,-79.0
1702023193296164014,0,1,1.0529999732971191,-82.0,-79.0
1702023193316137794,0,1,1.0099999904632568,-82.5,-79.5
1702023193336210762,0,1,1.0099999904632568,-82.5,-79.5
1702023193356267176,0,1,1.0429999828338623,-82.5,-79.0
1702023193376194828,0,1,1.0010000467300415,-83.0,-79.0
1702023193396314461,0,1,1.0449999570846558,-83.5,-79.0
1702023193416219642,0,1,0.9670000076293945,-84.0,-80.0
1702023193436165667,0,1,1.0410000085830688,-83.0,-79.0
1702023193456186064,0,1,1.034000039100647,-84.0,-79.5
1702023193476256240,0,1,1.0410000085830688,-84.0,-79.5
1702023193496229637,0,1,1.0140000581741333,-84.0,-80.0
1702023193516181343,0,1,1.0299999713897705,-83.5,-79.5
1702023193536195778,0,1,1.0240000486373901,-84.5,-79.5
1702023193556207314,0,1,1.0180000066757202,-83.0,-79.5
1702023193576197044,0,1,1.0099999904632568,-83.0,-79.5
1702023193596210412,0,1,1.0299999713897705,-83.0,-79.5
1702023193616178734,0,1,1.0160000324249268,-83.5,-79.0
1702023193636192853,0,1,0.996999979019165,-83.0,-79.5
1702023193656190787,0,1,1.0260000228881836,-83.0,-79.5
1702023193676188891,0,1,1.027999997138977,-83.5,-79.5
1702023193696188977,0,1,1.027999997138977,-83.0,-79.0
1702023193716243709,0,1,1.0360000133514404,-83.0,-79.5
1702023193736260936,0,1,1.0549999475479126,-83.0,-79.5
1702023193756194583,0,1,1.0240000486373901,-83.0,-79.0
1702023193776181706,0,1,1.0260000228881836,-83.0,-79.5
1702023193796234410,0,1,1.0449999570846558,-83.5,-79.5
1702023193816230281,0,1,0.9819999933242798,-83.0,-79.0
1702023193836206319,0,1,1.0529999732971191,-83.0,-79.0
1702023193856197915,0,1,1.0379999876022339,-84.0,-80.0
1702023193876191922,0,1,1.0080000162124634,-83.5,-79.5
1702023193896210561,0,1,1.0260000228881836,-83.0,-78.0
1702023193916211454,0,1,1.0360000133514404,-84.0,-80.0
1702023193936189707,0,1,1.0449999570846558,-84.0,-79.5
1702023193956222436,0,1,0.9929999709129333,-83.5,-80.0
1702023193976178858,0,1,0.9990000128746033,-83.5,-79.5
1702023193996263897,0,1,1.031999945640564,-83.0,-79.0
1702023194016214730,0,1,1.0199999809265137,-83.5,-79.5
1702023194036210057,0,1,1.062999963760376,-83.0,-79.5
1702023194056298386,0,1,0.9649999737739563,-83.0,-79.5
1702023194076163855,0,1,1.027999997138977,-83.0,-79.5
1702023194096217801,0,1,1.059000015258789,-82.5,-79.0
1702023194116270285,0,1,0.9869999885559082,-83.0,-79.5
1702023194136193915,0,1,1.00600004196167,-83.0,-79.0
1702023194156217907,0,1,1.0080000162124634,-82.5,-79.5
1702023194176187976,0,1,1.0379999876022339,-82.5,-79.0
1702023194196222903,0,1,0.984000027179718,-83.0,-79.5
1702023194216205185,0,1,1.0119999647140503,-82.5,-79.0
1702023194236189117,0,1,1.0160000324249268,-82.5,-79.5
1702023194256145874,0,1,1.069000005722046,-82.5,-79.0
1702023194276185772,0,1,0.9649999737739563,-83.0,-79.5
1702023194296182692,0,1,1.0219999551773071,-82.5,-79.0
1702023194316123769,0,1,1.027999997138977,-82.5,-79.5
1702023194336209308,0,1,1.0779999494552612,-82.5,-79.0
