%time,field.role,field.id,field.local_time,field.system_time,field.voltage,field.pos_3d0,field.pos_3d1,field.pos_3d2,field.eop_3d0,field.eop_3d1,field.eop_3d2,field.vel_3d0,field.vel_3d1,field.vel_3d2,field.angle_3d0,field.angle_3d1,field.angle_3d2,field.quaternion0,field.quaternion1,field.quaternion2,field.quaternion3,field.imu_gyro_3d0,field.imu_gyro_3d1,field.imu_gyro_3d2,field.imu_acc_3d0,field.imu_acc_3d1,field.imu_acc_3d2,field.nodes0.role,field.nodes0.id,field.nodes0.dis,field.nodes0.fp_rssi,field.nodes0.rx_rssi
1702031407741791708,0,0,71816,71818,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9119999408721924,-88.5,-79.0
1702031407761794081,0,0,71836,71838,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9040000438690186,-89.0,-79.5
1702031407781776028,0,0,71856,71858,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9639999866485596,-89.5,-79.5
1702031407801843242,0,0,71876,71878,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9690001010894775,-88.0,-79.5
1702031407821794900,0,0,71896,71898,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.8970000743865967,-89.5,-79.5
1702031407841862137,0,0,71916,71918,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9639999866485596,-88.5,-79.5
1702031407861735122,0,0,71936,71938,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.068000078201294,-88.5,-79.5
1702031407881752812,0,0,71956,71958,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.621999979019165,-93.5,-79.5
1702031407901800647,0,0,71976,71978,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.0490000247955322,-87.5,-79.5
1702031407921777973,0,0,71996,71998,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.053999900817871,-88.0,-79.5
1702031407941807347,0,0,72016,72018,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.5769999027252197,-93.5,-79.5
1702031407961777280,0,0,72036,72038,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.0490000247955322,-94.5,-79.5
1702031407981764700,0,0,72056,72058,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.4110000133514404,-94.5,-79.5
1702031408001789868,0,0,72076,72078,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.684000015258789,-94.0,-79.5
1702031408021890224,0,0,72096,72098,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.5169999599456787,-94.0,-79.5
1702031408041771426,0,0,72116,72118,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.428999900817871,-94.5,-79.5
1702031408061767493,0,0,72136,72138,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.1670000553131104,-88.5,-79.5
1702031408081733606,0,0,72156,72158,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.365000009536743,-96.5,-79.5
1702031408101806524,0,0,72176,72178,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.121999979019165,-89.0,-79.5
1702031408121639751,0,0,72196,72198,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.180999994277954,-86.5,-79.5
1702031408141633102,0,0,72216,72218,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.8949999809265137,-90.5,-79.5
1702031408161717813,0,0,72236,72238,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.246000051498413,-87.0,-79.5
1702031408181637892,0,0,72256,72258,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9189999103546143,-89.0,-79.5
1702031408201660649,0,0,72276,72278,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.0280001163482666,-91.0,-79.5
1702031408221654090,0,0,72296,72298,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.062999963760376,-87.0,-79.5
1702031408241634324,0,0,72316,72318,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.0799999237060547,-89.5,-79.5
1702031408261809241,0,0,72336,72338,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.943000078201294,-86.5,-79.5
1702031408281713430,0,0,72356,72358,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9519999027252197,-89.5,-79.5
1702031408301680793,0,0,72376,72378,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9690001010894775,-88.0,-79.5
1702031408321688474,0,0,72396,72398,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9760000705718994,-87.5,-79.5
1702031408341745326,0,0,72416,72418,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7179999351501465,-89.0,-79.0
1702031408361839586,0,0,72436,72438,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.802000045776367,-88.5,-79.5
1702031408381942401,0,0,72456,72458,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.8540000915527344,-90.0,-79.0
1702031408401853224,0,0,72476,72478,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.86899995803833,-89.0,-79.0
1702031408421928678,0,0,72496,72498,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.8350000381469727,-88.5,-79.0
1702031408441772700,0,0,72516,72518,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.815999984741211,-87.0,-79.0
1702031408461648119,0,0,72536,72538,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.6989998817443848,-87.5,-79.5
1702031408481760454,0,0,72556,72558,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7850000858306885,-87.0,-79.0
1702031408501768067,0,0,72576,72578,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.8420000076293945,-87.5,-79.0
1702031408521749102,0,0,72596,72598,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9590001106262207,-87.0,-79.5
1702031408541739945,0,0,72616,72618,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7990000247955322,-88.0,-79.5
1702031408561735070,0,0,72636,72638,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9070000648498535,-86.0,-79.0
1702031408581735261,0,0,72656,72658,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.884999990463257,-85.5,-79.5
1702031408601863251,0,0,72676,72678,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.760999917984009,-88.0,-79.0
1702031408621740261,0,0,72696,72698,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.822999954223633,-86.5,-79.5
1702031408641746147,0,0,72716,72718,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.8610000610351562,-86.5,-79.0
1702031408661736454,0,0,72736,72738,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7730000019073486,-88.0,-79.5
1702031408681741615,0,0,72756,72758,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.796999931335449,-87.0,-79.0
1702031408701757507,0,0,72776,72778,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7269999980926514,-86.5,-79.5
1702031408721729616,0,0,72796,72798,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7130000591278076,-86.0,-79.0
1702031408741741036,0,0,72816,72818,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7109999656677246,-86.0,-79.5
1702031408761817256,0,0,72836,72838,4.919000148773193,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7320001125335693,-85.0,-79.0
1702031408781747234,0,0,72856,72858,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.690999984741211,-84.5,-79.0
1702031408801867361,0,0,72876,72878,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.6459999084472656,-85.5,-79.5
1702031408821858839,0,0,72896,72898,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.6600000858306885,-85.0,-79.0
1702031408841743827,0,0,72916,72918,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.611999988555908,-85.0,-79.5
1702031408861740360,0,0,72936,72938,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.6510000228881836,-85.5,-79.0
1702031408881638715,0,0,72956,72958,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.611999988555908,-86.0,-79.5
1702031408901639093,0,0,72976,72978,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.611999988555908,-86.5,-79.0
1702031408921819569,0,0,72996,72998,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.624000072479248,-86.0,-79.5
1702031408941729344,0,0,73016,73018,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.611999988555908,-87.5,-79.5
1702031408961734224,0,0,73036,73038,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.628999948501587,-85.5,-79.0
1702031408981728263,0,0,73056,73058,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.5910000801086426,-86.5,-79.5
1702031409001753680,0,0,73076,73078,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.635999917984009,-85.0,-79.0
1702031409021740493,0,0,73096,73098,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.635999917984009,-85.0,-79.5
1702031409041745519,0,0,73116,73118,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.635999917984009,-83.5,-79.0
1702031409061749950,0,0,73136,73138,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.6029999256134033,-85.5,-79.5
1702031409081623168,0,0,73156,73158,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.696000099182129,-84.0,-79.5
1702031409101725672,0,0,73176,73178,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.7079999446868896,-85.0,-79.5
1702031409121821028,0,0,73196,73198,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.690999984741211,-84.5,-79.5
1702031409141731122,0,0,73216,73218,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.6679999828338623,-85.5,-79.5
1702031409161735214,0,0,73236,73238,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.243000030517578,-94.0,-79.5
1702031409181818963,0,0,73256,73258,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.8020000457763672,-90.0,-79.5
1702031409201760476,0,0,73276,73278,4.920000076293945,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.0220000743865967,-90.0,-79.5
