%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1703250046198912594,13865,1702029030007363796,base_link,-0.5433968259711003,-0.3622597876910648,-0.3772163091305219,0.6566548498812027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4071255326271057,-0.09926235675811768,-0.865169107913971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279422563839312,-4.916382177128964,1.8221822899471838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046201824125,13866,1702029030010601043,base_link,-0.5432750218571392,-0.3637773505487024,-0.3795649321104779,0.6545599683496232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4071255326271057,-0.09926235675811768,-0.865169107913971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279422563839312,-4.916382177128964,1.8221822899471838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046204793768,13867,1702029030014043807,base_link,-0.5432750218571392,-0.3637773505487024,-0.3795649321104779,0.6545599683496232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33257582783699036,-0.22280916571617126,-1.004720687866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.175278384808943,-4.874481052028592,2.333293338671742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046208236477,13868,1702029030017267227,base_link,-0.5430651106674165,-0.3658109835981186,-0.3819053893546067,0.6522352976010036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33257582783699036,-0.22280916571617126,-1.004720687866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.175278384808943,-4.874481052028592,2.333293338671742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046211519589,13869,1702029030020696163,base_link,-0.5430651106674165,-0.3658109835981186,-0.3819053893546067,0.6522352976010036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3336613178253174,-0.3452865481376648,-1.0558557510375977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.479048512079531,-4.373985893256663,2.2391926525856607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046214677677,13870,1702029030023942708,base_link,-0.542962599782857,-0.36815158052323926,-0.38420639951272617,0.649647190072234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3336613178253174,-0.3452865481376648,-1.0558557510375977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.479048512079531,-4.373985893256663,2.2391926525856607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046218931578,13871,1702029030027395009,base_link,-0.542962599782857,-0.36815158052323926,-0.38420639951272617,0.649647190072234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3581843078136444,-0.4262153208255768,-1.1251002550125122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.620250203527986,-4.201951698324697,2.018635270057956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046221737292,13872,1702029030030621290,base_link,-0.5428895374912793,-0.37080404963501834,-0.3864427078309737,0.6468673282992738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3581843078136444,-0.4262153208255768,-1.1251002550125122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.620250203527986,-4.201951698324697,2.018635270057956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046225026690,13873,1702029030034041881,base_link,-0.5428895374912793,-0.37080404963501834,-0.3864427078309737,0.6468673282992738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2942909300327301,-0.5572075247764587,-1.190084457397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.375343615650738,-4.281952197253447,2.7492734858894687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046228056470,13874,1702029030037271022,base_link,-0.5427765754308613,-0.3739680185910867,-0.38848882108104404,0.6439083367449623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2942909300327301,-0.5572075247764587,-1.190084457397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.375343615650738,-4.281952197253447,2.7492734858894687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
